=== per-repo queued/in_progress (prefer sample + high risk) ===
repos_with_work=64 sum_queued=197 sum_in_progress=0
name	queued	in_progress
cabal-devmelopner	50	0
mycelium-lang	23	0
gha-runner-ctl	14	0
agent-harness	9	0
mycelium-lang-myc	5	0
tg-agent-relay	3	0
mycelium-build	2	0
mycelium-build-myc	2	0
mycelium-check	2	0
mycelium-doc	2	0
mycelium-fmt-myc	2	0
mycelium-lint-myc	2	0
mycelium-lsp-myc	2	0
mycelium-proj	2	0
mycelium-std-cmp-myc	2	0
mycelium-std-collections-myc	2	0
mycelium-std-conformance	2	0
mycelium-std-conformance-myc	2	0
mycelium-std-content	2	0
mycelium-std-content-myc	2	0
mycelium-std-core	2	0
mycelium-std-core-myc	2	0
mycelium-std-fs	2	0
mycelium-std-fs-myc	2	0
mycelium-std-io	2	0
mycelium-std-io-myc	2	0
mycelium-std-iter	2	0
mycelium-std-iter-myc	2	0
mycelium-std-numerics	2	0
mycelium-std-rand	2	0
mycelium-std-spore-myc	2	0
mycelium-std-swap	2	0
mycelium-std-swap-myc	2	0
mycelium-std-sys	2	0
mycelium-std-sys-host	2	0
mycelium-std-sys-host-myc	2	0
mycelium-std-ternary	2	0
mycelium-std-testing	2	0
mycelium-std-testing-myc	2	0
mycelium-transpile-myc	2	0
mycelium-value	2	0
mycelium-bench	1	0
mycelium-cli-common	1	0
mycelium-cli-common-myc	1	0
mycelium-doc-myc	1	0
mycelium-fmt	1	0
mycelium-l1	1	0
mycelium-l1-myc	1	0
mycelium-lint	1	0
mycelium-lsp	1	0
mycelium-proj-myc	1	0
mycelium-std-cmp	1	0
mycelium-std-collections	1	0
mycelium-std-dense	1	0
mycelium-std-dense-myc	1	0
mycelium-std-math	1	0
mycelium-std-math-myc	1	0
mycelium-std-numerics-myc	1	0
mycelium-std-select-myc	1	0
mycelium-std-spore	1	0
